polarity,homeless
-0.5574,95
-0.5574,95
-0.5574,95
-0.743,750
-0.5209,5061
-0.6187,1708
-0.7297,168
-0.6259,4
-0.6408,5813
-0.743,5813
-0.5256,4
-0.5028,5061
-0.6055,444
-0.6055,444
-0.6055,444
-0.7506,225
-0.7506,225
-0.7506,225
-0.7717,5813
-0.7717,5813
-0.7717,5813
-0.5994,4
-0.5994,4
-0.5994,4
-0.5267,5061
-0.5267,5061
-0.5267,5061
-0.6113,5813
-0.6113,5813
-0.6113,5813
-0.5562,4
-0.5562,4
-0.5562,4
-0.6908,4
-0.6908,4
-0.6908,4
-0.7506,165
-0.7506,165
-0.7506,165
-0.7088,5061
-0.7088,5061
-0.7088,5061
-0.5106,5061
-0.5106,5061
-0.5106,5061
-0.5423,210
-0.5423,210
-0.5423,210
-0.5423,4
-0.5423,4
-0.5423,4
-0.7513,497
-0.7513,497
-0.7513,497
-0.5267,210
-0.5267,210
-0.5267,210
-0.5707,355
-0.5707,355
-0.5707,355
-0.5423,4
-0.5423,4
-0.5423,4
-0.5707,5813
-0.5707,5813
-0.5106,5061
-0.5106,5061
-0.8402,13
-0.8402,13
-0.5719,4
-0.5719,4
-0.5719,4
-0.5267,2582
-0.5267,2582
-0.5267,2582
-0.6739,5061
-0.6739,5061
-0.6739,5061
-0.7531,0
-0.7531,0
-0.7531,0
-0.7906,4
-0.7906,4
-0.7906,4
-0.5267,4
-0.5994,4
-0.5255,4
-0.6496,4
-0.5983,0
-0.7531,5061
-0.6408,1599
-0.5574,5061
-0.5984,5813
-0.5984,5813
-0.5984,5813
-0.7717,816
-0.7717,816
-0.7717,816
-0.5574,4
-0.5574,4
-0.5574,4
-0.9054,4
-0.9054,4
-0.9054,4
-0.8248,750
-0.8248,750
-0.8248,750
-0.5574,4
-0.5574,4
-0.5574,4
-0.6124,4
-0.5423,13
-0.5994,497
-0.5346,1205
-0.5346,1205
-0.5346,1205
-0.5346,1205
-0.8126,4
-0.8126,4
-0.8126,4
-0.8126,4
-0.6908,4
-0.5413,1708
-0.5994,192
-0.5574,13
-0.9175,5061
-0.6486,4
-0.5106,4
-0.5423,4
-0.5423,5813
-0.6486,4
-0.5267,266
-0.5267,266
-0.5267,266
-0.5983,0
-0.5983,0
-0.5983,0
-0.5622,4
-0.5622,4
-0.5622,4
-0.6981,1166
-0.6981,1166
-0.6981,1166
-0.6981,1166
-0.5423,1599
-0.5423,1599
-0.5423,1599
-0.5423,1599
-0.6486,4
-0.5256,672
-0.5423,4
-0.5096,4
-0.6908,121
-0.5267,750
-0.5574,4
-0.6751,4
-0.9413,13
-0.8692,5061
-0.6124,4
-0.6124,4
-0.5229,4
-0.5229,4
-0.5229,4
-0.5106,4
-0.5106,4
-0.5106,4
-0.7088,4
-0.7088,4
-0.7088,4
-0.5574,13
-0.5574,13
-0.5574,13
-0.507,5813
-0.507,5813
-0.507,5813
-0.507,5813
-0.509,5813
-0.509,5813
-0.509,5813
-0.509,5813
-0.684,4
-0.684,4
-0.684,4
-0.684,4
-0.5448,672
-0.5448,672
-0.5448,672
-0.5448,672
-0.6249,12
-0.6249,12
-0.6249,12
-0.6249,12
-0.7269,4
-0.7269,4
-0.7269,4
-0.7269,4
-0.7345,4
-0.7345,4
-0.7345,4
-0.7345,4
-0.6973,2582
-0.6973,2582
-0.6973,2582
-0.516,4
-0.516,4
-0.516,4
-0.6476,816
-0.6476,816
-0.6476,816
-0.6486,750
-0.6486,750
-0.6486,750
-0.5563,1205
-0.5563,1205
-0.5563,1205
-0.7579,497
-0.7579,497
-0.7579,497
-0.7579,497
-0.5423,4
-0.5423,4
-0.5423,4
-0.5423,4
-0.7096,4
-0.7096,4
-0.7096,4
-0.7096,4
-0.5423,248
-0.5423,248
-0.5423,248
-0.5423,248
-0.5574,4
-0.5574,4
-0.5574,4
-0.5574,4
-0.6249,5061
-0.6249,5061
-0.6249,5061
-0.6249,5061
-0.8074,13
-0.8074,13
-0.8074,13
-0.6408,5813
-0.6408,5813
-0.6408,5813
-0.5707,816
-0.5707,816
-0.5707,816
-0.5267,4
-0.5267,4
-0.5267,4
-0.5267,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.6136,13
-0.6136,13
-0.6136,13
-0.5423,5061
-0.5423,5061
-0.5423,5061
-0.6249,44
-0.6249,44
-0.6249,44
-0.5374,2582
-0.5374,2582
-0.5374,2582
-0.7252,251
-0.7252,251
-0.7252,251
-0.7891,1367
-0.7891,1367
-0.7891,1367
-0.7891,1367
-0.5719,5061
-0.5719,5061
-0.5719,5061
-0.5719,5061
-0.5448,4
-0.5448,4
-0.5448,4
-0.5448,4
-0.8074,13
-0.8074,13
-0.8074,13
-0.8074,13
-0.6239,5061
-0.6239,5061
-0.6239,5061
-0.7672,13
-0.7672,13
-0.7672,13
-0.5994,247
-0.5994,247
-0.5994,247
-0.561,5061
-0.561,5061
-0.561,5061
-0.9477,5061
-0.9477,5061
-0.9477,5061
-0.5423,4
-0.5423,4
-0.5423,4
-0.5859,4
-0.5859,4
-0.5859,4
-0.5719,1166
-0.5719,1166
-0.5719,1166
-0.6421,750
-0.6421,750
-0.6421,750
-0.6421,750
-0.6486,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.5423,4
-0.5423,4
-0.5423,4
-0.5423,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.5859,5061
-0.69,4
-0.5096,4
-0.6808,4
-0.5719,1599
-0.5208,5061
-0.7081,4
-0.7297,709
-0.7297,709
-0.7297,709
-0.7297,709
-0.6486,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.5423,4
-0.5423,4
-0.5423,4
-0.5423,4
-0.5848,4
-0.5848,4
-0.5848,4
-0.5848,4
-0.8779,4
-0.8779,4
-0.8779,4
-0.8779,4
-0.6249,4
-0.6249,4
-0.6249,4
-0.6249,4
-0.5815,1708
-0.5815,1708
-0.5815,1708
-0.5815,1708
-0.5106,5061
-0.5106,5061
-0.5106,5061
-0.5106,5061
-0.68,4
-0.68,4
-0.68,4
-0.7269,165
-0.7269,165
-0.7269,165
-0.6369,5061
-0.6369,5061
-0.6369,5061
-0.872,4
-0.872,4
-0.872,4
-0.872,4
-0.7297,68
-0.7297,68
-0.7297,68
-0.7297,68
-0.6486,4
-0.6486,4
-0.6486,4
-0.6486,4
-0.5719,5061
-0.5719,5061
-0.5719,5061
-0.5719,5061
-0.7,4
-0.7,4
-0.7,4
-0.5423,13
-0.5423,13
-0.5423,13
